metric,category,display_name,source,ipeds_table_or_formula,use_type,comparison_scope,format,neche_peer_set,neche_dashboard,coverage_note,notes
grad_rate_6yr,outcomes,6-year bachelor's graduation rate,ipeds,DRVGR.GBA6RTT,clustering,cross_category,percentage,FALSE,TRUE,NA,NA
grad_rate_4yr,outcomes,4-year bachelor's graduation rate,ipeds,DRVGR.GBA4RTT,descriptive,cross_category,percentage,FALSE,FALSE,NA,Reclassified to descriptive (audit): redundant with another clustering var on this dataset; still visible in Side-by-Side and Variables tabs.
retention_rate,outcomes,Full-time first-year retention rate,ipeds,EF{yr}D.RET_PCF,clustering,cross_category,percentage,FALSE,TRUE,NA,NA
transfer_out_rate,outcomes,Transfer-out rate from entering cohort,ipeds,DRVGR.TRRTTOT,clustering,cross_category,percentage,FALSE,FALSE,NA,NA
pell_grad_gap,outcomes,"Pell minus non-Pell 6-year award rate, pp",ipeds_derived,DRVOM.OM1PELLAWDP6 - OM1NPELAWDP6,clustering,cross_category,percentage,FALSE,TRUE,Negative values mean Pell students do worse,NA
grad_rate_men_vs_women,outcomes,"Grad rate gap, women minus men (6-year), pp",ipeds_derived,DRVGR.GBA6RTW - GBA6RTM,exploratory,within_category,percentage,FALSE,FALSE,Exploratory only,NA
doctoral_degrees_awarded,outcomes,Research/scholarship doctorates awarded,ipeds,DRVC.DOCDEGRS,descriptive,within_category,count,TRUE,TRUE,NECHE peer-set member. Excludes professional-practice doctorates (DOCDEGPP).,NA
n_undergrad_programs,outcomes,"Number of distinct undergraduate programs (CIP6, primary major)",ipeds_derived,"C{yr}_A: distinct CIPCODE where AWLEVEL=5, MAJORNUM=1, CTOTALT>0",descriptive,within_category,count,FALSE,FALSE,Counts CIP codes that produced at least one bachelor's graduate in the latest panel year. Slightly under-counts programs that exist but had zero completions.,NA
n_undergrad_cip2_families,outcomes,Number of distinct undergraduate CIP2 families,ipeds_derived,"C{yr}_A: distinct CIPCODE first-2 where AWLEVEL=5, MAJORNUM=1",descriptive,within_category,count,FALSE,FALSE,"Broader grouping than n_undergrad_programs; each CIP2 is a major academic family (e.g., 11 = Computer Science, 14 = Engineering, 26 = Biology).",NA
n_grad_programs,outcomes,"Number of distinct graduate programs (CIP6, primary major)",ipeds_derived,"C{yr}_A: distinct CIPCODE where AWLEVEL in {7,17,18,19}, MAJORNUM=1, CTOTALT>0",descriptive,within_category,count,FALSE,FALSE,"Includes Master's, research doctorates, professional-practice doctorates, and other doctorates. Counts programs that produced at least one graduate in the latest panel year.",NA
n_grad_cip2_families,outcomes,Number of distinct graduate CIP2 families,ipeds_derived,"C{yr}_A: distinct CIPCODE first-2 where AWLEVEL in {7,17,18,19}, MAJORNUM=1",descriptive,within_category,count,FALSE,FALSE,Broader grouping than n_grad_programs.,NA
median_earnings_10yr,outcomes,Median earnings 10 yrs after entry,scorecard,earnings.10_yrs_after_entry.median (latest),clustering,cross_category,currency,FALSE,FALSE,Latest available Scorecard cohort; long lag from current year,NA
median_earnings_6yr,outcomes,Median earnings 6 yrs after entry,scorecard,earnings.6_yrs_after_entry.median (latest),descriptive,cross_category,currency,FALSE,FALSE,Latest available Scorecard cohort,Reclassified to descriptive (audit): redundant with another clustering var on this dataset; still visible in Side-by-Side and Variables tabs.
loan_repayment_rate,outcomes,3-year loan repayment rate (completers),scorecard,repayment.3_yr_repayment.completers (latest),clustering,cross_category,percentage,FALSE,FALSE,Latest available Scorecard cohort,NA
first_gen_grad_rate_6yr,outcomes,First-gen 6-year graduation rate,cds_ai,Academic Insights metric_id 1116,descriptive,cross_category,percentage,FALSE,FALSE,"Survey respondents only (~45%); rate, not gap. Construct comparisons downstream.",Descriptive only: r=0.91 with grad_rate_6yr; pell_grad_gap carries the equity signal more cleanly.
earnings_ratio,outcomes,Actual vs expected earnings (CCIHE SAEC),ccihe,Carnegie 2025 Public Data File.earnings_ratio,clustering,cross_category,ratio,FALSE,FALSE,One-time CCIHE snapshot; written under latest panel year,NA
