dimension,value,description
saec2025_label,"Opportunity Colleges and Universities – Higher Access, Higher Earnings","Carnegie's flagship SAEC bucket: institutions whose Pell-receiving undergraduate share is at or above the overall sector benchmark AND whose 10-year-after-entry earnings outcomes are at or above the expected benchmark for their student population. Read as ""high access AND high outcomes"" — institutions delivering social mobility at scale."
saec2025_label,"Higher Access, Higher Earnings","Above-benchmark Pell share and above-benchmark earnings outcomes, but distinct from the flagship Opportunity Colleges tier."
saec2025_label,"Higher Access, Medium Earnings","Above-benchmark Pell share with mid-range earnings outcomes for the institution's student population."
saec2025_label,"Higher Access, Lower Earnings","Above-benchmark Pell share with below-benchmark earnings outcomes. Often institutions serving lower-income students whose outcomes do not yet exceed expectation."
saec2025_label,"Lower Access, Higher Earnings","Below-benchmark Pell share with above-benchmark earnings outcomes. The classic ""selective high-income with strong outcomes"" profile — Holy Cross sits here, along with most selective LACs and many national universities."
saec2025_label,"Lower Access, Medium Earnings","Below-benchmark Pell share with mid-range earnings outcomes."
saec2025_label,"Lower Access, Lower Earnings","Below-benchmark on both axes. Often small specialty institutions or schools where degree-level outcomes are limited."
saec2025_label,"Not Classified in SAEC","Excluded from the SAEC framework. Typically includes service academies, special-focus institutions, very small institutions, and others where the Pell and earnings benchmarks don't apply meaningfully."
research2025_label,"Research 1: Very High Spending and Doctorate Production","R1: highest tier of doctoral universities by combined research spending and PhDs awarded. The ~140 most research-intensive institutions in the US."
research2025_label,"Research 2: High Spending and Doctorate Production","R2: doctoral universities with high research activity, below the R1 threshold."
research2025_label,"Research Colleges and Universities","Institutions with measurable research activity that don't meet the R1/R2 doctoral thresholds. Often master's institutions or smaller research-active colleges."
research2025_label,"No research designation","No formal research classification. Includes most baccalaureate colleges and institutions whose research activity is below Carnegie's threshold."
setting2025_label,"Residential","More than 50% of full-time undergraduates live on campus."
setting2025_label,"Highly residental","75% or more of full-time undergraduates live on campus. The most residential category. (Note: ""residental"" is spelled this way in the source Carnegie data.)"
setting2025_label,"Primarily residential","Significant on-campus housing, but a smaller share than the Residential tiers."
setting2025_label,"Primarily non-residential","Fewer than 25% of full-time undergraduates live on campus. Most students commute."
setting2025_label,"Mostly full-time, not residential","Few on-campus residents, but a primarily full-time student body."
setting2025_label,"Mostly part-time, not residential","Few on-campus residents and a primarily part-time student body. Common for working-adult-focused institutions."
setting2025_label,"Primarily online","Most enrollment is via online courses; minimal on-campus presence."
setting2025_label,"Online and on-campus learning","Substantial mix of online and on-campus students."
setting2025_label,"Graduate-focused","Limited or no undergraduate population; institution is centered on graduate education."
control_grp,public,"Public 4-year institutions (IPEDS SECTOR = 1). Includes state universities and state college systems."
control_grp,private_nfp,"Private nonprofit 4-year institutions (IPEDS SECTOR = 2). Excludes for-profit institutions, which are excluded from the project universe entirely."
religious_tradition,Catholic,"Institutions formally affiliated with the Roman Catholic Church (per IPEDS IC2023 RELAFFIL = 30)."
religious_tradition,Protestant,"Institutions affiliated with denominationally-specific Protestant traditions (Lutheran, Methodist, Presbyterian, Baptist, and so on). See R/schools_pipeline.R for the full denomination-to-tradition mapping."
religious_tradition,Other Christian,"Eastern Orthodox, Latter-day Saints, and nondenominational / ecumenical / multi-denominational Christian institutions."
religious_tradition,Jewish,"Jewish-affiliated institutions."
religious_tradition,Other,"Muslim, Buddhist, Unitarian Universalist, and other religious traditions not captured by the above categories."
region,northeast,"Census Bureau Northeast region: CT, ME, MA, NH, NJ, NY, PA, RI, VT."
region,new_england,"Sub-region of the Northeast: CT, ME, MA, NH, RI, VT. Common IR cohort for selective private institutions."
region,midatlantic,"Sub-region of the Northeast: NJ, NY, PA."
region,midwest,"Census Bureau Midwest region: IL, IN, IA, KS, MI, MN, MO, NE, ND, OH, SD, WI."
region,south,"Census Bureau South region: AL, AR, DE, DC, FL, GA, KY, LA, MD, MS, NC, OK, SC, TN, TX, VA, WV."
region,west,"Census Bureau West region: AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA, WY."
