metric,category,display_name,source,ipeds_table_or_formula,use_type,comparison_scope,format,neche_peer_set,neche_dashboard,coverage_note,notes
acceptance_rate,admissions,Acceptance rate,ipeds_derived,"DRVADM.DVADM01, or ADM.ADMSSN/APPLCN with gender-breakout fallback",clustering,cross_category,percentage,FALSE,FALSE,,
yield_rate,admissions,Yield rate,ipeds_derived,"DRVADM.DVADM04, or ADM.ENRLT/ADMSSN with gender-breakout fallback",clustering,cross_category,percentage,FALSE,FALSE,,
application_volume,admissions,Number of applications,ipeds,"ADM.APPLCN, with gender-breakout fallback",clustering,within_category,count,FALSE,FALSE,,
sat_mid50,admissions,SAT mid-50% composite score,ipeds_derived,"ADM.SATVR50 + SATMT50, fallback to (SATVR25+SATVR75)/2 + (SATMT25+SATMT75)/2",descriptive,descriptive,score,FALSE,FALSE,Submission bias under test-optional policies; not for clustering,
act_mid50,admissions,ACT mid-50% composite score,ipeds_derived,"ADM.ACTCM50, fallback to (ACTCM25+ACTCM75)/2",descriptive,descriptive,score,FALSE,FALSE,Kept separate from SAT (no concordance); not for clustering,
pct_submitting_sat,admissions,Percent of first-time students submitting SAT scores,ipeds,ADM.SATPCT,clustering,cross_category,percentage,FALSE,FALSE,Companion to sat_mid50,
pct_submitting_act,admissions,Percent of first-time students submitting ACT scores,ipeds,ADM.ACTPCT,clustering,cross_category,percentage,FALSE,FALSE,Companion to act_mid50,
yield_men_vs_women,admissions,"Yield gap (women minus men), percentage points",ipeds_derived,DRVADM.DVADM06 - DVADM05,exploratory,within_category,percentage,FALSE,FALSE,Exploratory only; not a core variable,
pct_top10_hs,admissions,Percent of enrolled in top 10% of HS class,cds_ai,Academic Insights metric_id 8,clustering,cross_category,percentage,FALSE,FALSE,Survey respondents only (~45%),
ed_acceptance_rate,admissions,Early decision acceptance rate,cds_ai,Academic Insights metric_id 100,descriptive,cross_category,percentage,FALSE,FALSE,Survey respondents only (~45%); NA distinct from 'no ED program',Reclassified to descriptive (audit round 3): ~14% coverage in the ranked universe — always fails the 70% threshold so never contributes to distance. Still useful in Side-by-Side for the minority of schools that report ED data.
ed_share_of_applications,admissions,Early decision applicants as % of total applications,cds_ai_derived,Academic Insights metric_id 194 / IPEDS ADM.APPLCN,descriptive,within_category,percentage,FALSE,FALSE,Numerator covers ~45% of universe; denominator near-universal,Reclassified to descriptive (audit round 3): ~14% coverage in the ranked universe — always fails the 70% threshold so never contributes to distance.
