metric,category,display_name,source,ipeds_table_or_formula,use_type,comparison_scope,format,neche_peer_set,neche_dashboard,coverage_note,notes
endowment_per_fte,finance,Endowment assets per FTE,ipeds,DRVF.F1ENDMFT (GASB) / F2ENDMFT (FASB),clustering,cross_category,currency,FALSE,TRUE,,
endowment_coverage_years,finance,Endowment value as years of operating expenses,ipeds_derived,(endowment_per_fte * FTE) / core_expenses,clustering,cross_category,ratio,FALSE,FALSE,Higher = financially stronger. Most LACs 1-5; wealthiest research 10+,
tuition_share_of_expenses,finance,Net tuition revenue as % of core expenses,ipeds_derived,100 * (tuition_per_fte * FTE) / core_expenses,clustering,cross_category,percentage,FALSE,TRUE,Stable analog of tuition_dependence; uses expenses (no investment-return distortion),
core_expenses_per_fte,finance,Total core operating expenses per FTE,ipeds_derived,(DRVF.F1COREXP or F2COREXP) / DRVEF.FTE,clustering,cross_category,currency,FALSE,TRUE,,
operating_margin_ex_inv_return_per_fte,finance,"Operating margin per FTE, excluding investment return",ipeds_derived,(rev * (1 - INVRPC/100) - core_exp) / FTE,clustering,cross_category,currency,FALSE,FALSE,Negative values common for endowment-rich schools that fund operations from endowment income,
net_assets_per_fte,finance,Total net assets per FTE (year end),ipeds_derived,F1A.F1H02 (FASB) / F2.F2H02 (GASB) / DRVEF.FTE,descriptive,cross_category,currency,FALSE,FALSE,FASB net assets vs GASB net position - documented in methodology,Reclassified to descriptive (audit): redundant with another clustering var on this dataset; still visible in Side-by-Side and Variables tabs.
published_tuition_fees,finance,"Published tuition + required fees (in-state, UG, AY)",ipeds,IC{yr}_AY.TUITION2 + FEE2 / COST1_2024.CHG2AY3,clustering,cross_category,currency,FALSE,TRUE,Combined tuition + fees. In-state used for public institutions.,
herd_avg,finance,"HERD R&D expenditures, 3-year average (Carnegie)",ccihe,Carnegie 2025 Public Data File.herd_avg,descriptive,within_category,currency,TRUE,FALSE,NECHE peer-set member. One-time Carnegie snapshot (FY2020-2023 avg) under 2024.,
student_faculty_ratio,resources,Student-to-faculty ratio (computed),ipeds_derived,DRVEF.FTE / DRVHR.SFTEINST,clustering,cross_category,ratio,FALSE,TRUE,Computed (STUFACR not in IPEDS); matches NSC's published S-F ratio formula,
tenure_track_share,resources,% of instructional staff tenured or on tenure track,ipeds_derived,"S{yr}_IS (FACSTAT 20+30) / (FACSTAT 0), filtered to ARANK==0",clustering,cross_category,percentage,FALSE,FALSE,"NA if institution has no tenure system (FACSTAT 40 populated, 20+30 empty)",
avg_ft_faculty_salary,resources,Average full-time instructional salary,ipeds_derived,SAL{yr}_IS.SAOUTLT / SATOTLT,clustering,cross_category,currency,FALSE,FALSE,,
instruction_per_fte,resources,Instruction expenses per FTE,ipeds,DRVF.F1INSTFT (GASB) / F2INSTFT (FASB),clustering,within_category,currency,FALSE,TRUE,,
academic_support_per_fte,resources,Academic support expenses per FTE,ipeds,DRVF.F1ACSPFT (GASB) / F2ACSPFT (FASB),clustering,within_category,currency,FALSE,TRUE,,
student_services_per_fte,resources,Student services expenses per FTE,ipeds,DRVF.F1STSVFT (GASB) / F2STSVFT (FASB),clustering,within_category,currency,FALSE,TRUE,,
instructional_share,resources,Instruction as % of total core expenses,ipeds,DRVF.F1INSTPC (GASB) / F2INSTPC (FASB),clustering,cross_category,percentage,FALSE,TRUE,,
pct_classes_under_20,resources,% of undergrad classes with fewer than 20 students,cds_ai,Academic Insights metric_id TBD,clustering,cross_category,percentage,FALSE,FALSE,Survey respondents only (~45%),
pct_classes_50plus,resources,% of undergrad classes with 50 or more students,cds_ai,Academic Insights metric_id TBD,clustering,cross_category,percentage,FALSE,FALSE,Survey respondents only (~45%),
