metric,description
acceptance_rate,"Percent of applicants admitted: admits ÷ applicants. Lower is more selective. Note this is the institutional rate, not yield (enrollees ÷ admits). Source: IPEDS Admissions component (ADM)."
act_mid50,"ACT composite score at the 50th percentile of admitted students (midpoint between 25th and 75th percentiles, with a 25/75 average used as fallback when only band scores are reported). Kept separate from SAT — no concordance is applied. Useful for descriptive comparisons but the test-optional era means coverage varies widely."
application_volume,"Total number of applications received for the most recent fall cohort. A raw scale measure; very different at a 1,500-student liberal arts college vs. a 50,000-student state flagship. Use alongside acceptance_rate to interpret either. Source: IPEDS ADM."
ed_acceptance_rate,"Early decision acceptance rate: ED admits ÷ ED applicants. Lower means an ED program that's harder to crack. Reported in the Common Data Set, so coverage is roughly 45% of institutions (CDS respondents only) — NA values can mean either no ED program or just no submission."
ed_share_of_applications,"Early decision applicants as a percent of total applicants. A signal of institutional reliance on ED: high values often correlate with selective privates that lock in their class before the regular decision cycle. CDS numerator (~45% coverage) over a near-universal IPEDS denominator."
pct_submitting_act,"Percent of first-time students who submitted an ACT score with their application. Important context for act_mid50 — small submission shares can produce unrepresentative midpoints, especially under test-optional policies. Source: IPEDS ADM (ACTPCT)."
pct_submitting_sat,"Percent of first-time students who submitted an SAT score with their application. Important context for sat_mid50; low submission shares under test-optional admissions can skew the midpoint toward the highest scorers. Source: IPEDS ADM (SATPCT)."
pct_top10_hs,"Percent of enrolled first-year students who graduated in the top 10% of their high school class. A standard signal of admissions selectivity, but only the ~45% of institutions that respond to the Common Data Set report it."
sat_mid50,"Composite SAT (Verbal + Math) at the 50th percentile of admitted students, computed as the midpoint between 25th and 75th percentiles when needed. Test-optional policies mean this reflects the subset of admits who chose to submit scores — generally a higher-scoring slice — so trends over recent years are not directly comparable. Source: IPEDS ADM."
yield_men_vs_women,"Yield rate gap (women minus men), in percentage points. Positive values mean women yielded at a higher rate than men. Exploratory variable — useful for spotting gender disparities in matriculation patterns, not used in peer-distance calculation."
